[dotenv@17.3.1] injecting env (0) from .env -- tip: ⚙️  override existing env vars with { override: true }
Home Gateway listening on http://0.0.0.0:8080 (all interfaces)
(node:6662) [DEP0060] DeprecationWarning: The `util._extend` API is deprecated. Please use Object.assign() instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
GET /meniu 200 - - 93.314 ms
GET /meniu/_next/static/chunks/services_service-meniu_app_globals_2b504bef.css 200 - - 8.324 ms
GET /logo.png 304 - - 13.810 ms
GET /images/menu/starters_premium.png 304 - - 13.558 ms
GET /images/tripadvisor2019certificate.png 304 - - 9.856 ms
GET /meniu/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js 200 671 - 16.902 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js 200 - - 16.297 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js 200 - - 13.333 ms
GET /images/seafood/animation/seafood-mix-platou.jpg 304 - - 26.712 ms
GET /meniu/_next/static/chunks/services_service-meniu_a0ff3932._.js 200 783 - 5.415 ms
GET /meniu/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js 200 - - 20.181 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_f3530cac._.js 200 - - 23.407 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_client_17643121._.js 200 - - 10.704 ms
GET /meniu/_next/static/chunks/turbopack-services_service-meniu_1c2fcf62._.js 200 - - 11.288 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js 200 262 - 6.076 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_be32b49c._.js 200 - - 9.085 ms
GET /meniu/_next/static/chunks/services_service-meniu_src_76261d0e._.js 200 - - 6.553 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js 200 - - 17.159 ms
GET /meniu/_next/static/chunks/node_modules_next_cd640352._.js 200 - - 7.848 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js 200 - - 10.761 ms
GET /meniu/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js 200 - - 9.983 ms
GET /meniu/_next/static/chunks/services_service-meniu_app_layout_tsx_1cf6b850._.js 200 644 - 28.084 ms
GET /meniu/_next/static/chunks/services_service-meniu_app_page_tsx_6da6a616._.js 200 240 - 27.284 ms
GET /meniu/_next/static/chunks/node_modules_framer-motion_dist_es_afea34c2._.js 200 - - 8.760 ms
GET /meniu/_next/static/chunks/_561909f3._.js 200 - - 28.989 ms
GET /meniu/_next/static/chunks/node_modules_745e78bd._.js 200 - - 5.232 ms
GET /meniu/_next/static/chunks/node_modules_motion-dom_dist_es_bc6a3e4a._.js 200 - - 11.482 ms
GET /meniu/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js 200 288 - 36.470 ms
GET /meniu/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js 200 - - 37.341 ms
GET /redbull.png 200 185272 - 13.189 ms
POST /__nextjs_original-stack-frames 200 - - 23.918 ms
GET /logo.png 304 - - 8.795 ms
GET /meniu/_next/webpack-hmr?id=p_fCuonETLKT1PQEMLL6y - - - - ms
GET / 200 - - 70.627 ms
GET /logo.png 304 - - 7.326 ms
